description,fraudulent
"We are hiring software engineers for our downtown office. Competitive salary and benefits.",0
"Immediate join required for data entry work from home. Earn quick money daily.",1
"Senior product manager needed at leading fintech startup. Great culture.",0
"Urgent! Work from home opportunity. Make $5000 weekly with no experience.",1
"Marketing specialist role with flexible hours and career growth.",0
"Quick money scheme! Send your details urgently to start earning today.",1
"Full stack developer position open at tech company. Remote options available.",0
"Immediate join! Earn from home with simple typing jobs. No resume needed.",1
"HR coordinator needed for corporate firm. Standard benefits package.",0
"Urgent hiring! Quick money for online surveys. Click links to apply now.",1

